t_index	 term	 df 
3316	columbin	1
3317	column	7
3318	columnist	1
3319	comasagua	5
3320	comb	10
3321	combat	22
3322	combin	20
3323	combrat	1
3324	come	1
3325	come-from-behind	1
3326	comeback	17
3327	comedian	1
3328	comen	1
3329	comfort	25
3330	comic	1
3331	command	127
3332	command:	2
3333	commando	5
3334	commemor	7
3335	commenc	1
3336	commend	3
3337	comment	82
3338	commentari	5
3339	commerc	10
3340	commerci	38
3341	comminut	1
3342	commiss	94
3343	commissari	2
3344	commission	15
3345	commit	89
3346	committe	78
3347	committee:	1
3348	commod	11
3349	common	36
3350	common-sens	3
3351	commonli	5
3352	commot	1
3353	commun	113
3354	communiqu	5
3355	communist	58
3356	communist-rul	1
3357	communist-run	1
3358	communist-turned-socialist	1
3359	commut	20
3360	commutation:	2
3361	commutations:	1
3362	compact	1
3363	compani	76
3364	companion	4
3365	companionship	4
3366	compar	31
3367	comparison	9
3368	compart	38
3369	compass	5
3370	compassion	3
3371	compel	10
3372	compens	3
3373	compensatori	1
3374	compet	16
3375	competit	22
3376	competitor	2
3377	compil	4
3378	complac	4
3379	complain	40
3380	complaint	21
3381	complement	2
3382	complet	104
3383	complex	41
3384	compli	5
3385	complianc	2
3386	complic	31
3387	compliment	5
3388	compon	2
3389	compos	1
3390	composit	4
3391	composur	5
3392	compound	30
3393	comprehend	1
3394	comprehens	5
3395	compress	1
3396	compris	3
3397	compromis	16
3398	compuls	1
3399	comput	10
3400	computer-link	1
3401	comrad	7
3402	con	1
3403	conceal	10
3404	conced	49
3405	conceiv	9
3406	concentr	20
3407	concept	7
3408	concern	105
3409	concernusa	1
3410	concert	7
3411	concess	16
3412	conchita	3
3413	concili	2
3414	conciliatori	3
3415	conclud	46
3416	concluded:	1
3417	conclus	31
3418	concret	38
3419	concur	1
3420	concuss	1
3421	condemn	24
3422	condit	136
3423	condition	2
3424	condol	15
3425	condoleezza	1
3426	condon	2
3427	conduct	51
3428	conduit	1
3429	confer	68
3430	confess	10
3431	confetti	6
3432	confetti-lik	1
3433	confetti-s	1
3434	confid	60
3435	confidence:	1
3436	confidenti	1
3437	configur	1
3438	confin	6
3439	confirm	117
3440	confisc	1
3441	conflict	46
3442	conflict:	1
3443	conform	1
3444	confound	2
3445	confront	39
3446	confus	22
3447	cong	1
3448	congeni	1
3449	congest	5
3450	congo	2
3451	congratul	29
3452	congreg	1
3453	congress	112
3454	congression	39
3455	congressman	42
3456	congressmen	1
3457	congresswoman	2
3458	conjunct	2
3459	conn	1
3460	connal	24
3461	connect	66
3462	connecticut	13
3463	connel	1
3464	connelli	1
3465	connett	1
3466	conni	7
3467	conniv	1
3468	connoli	1
3469	connolli	1
3470	connor	1
3471	conquer	1
3472	conqueror	3
3473	conquest	2
3474	conrad	6
3475	conscienc	3
3476	consciou	4
3477	conscious	2
3478	consecut	27
3479	consensu	9
3480	consent	2
3481	consequ	18
3482	consequenti	1
3483	conserv	19
3484	conservat	1
3485	conservationist	1
3486	consid	131
3487	consider	28
3488	consign	1
3489	consist	14
3490	consistu	1
3491	consol	8
3492	consolid	13
3493	consortium	7
3494	conspicu	2
3495	conspir	6
3496	conspiraci	18
3497	constant	10
3498	constantinescu	1
3499	constantli	10
3500	constern	1
3501	constitu	5
3502	constitut	103
3503	constitution	5
3504	constrain	1
3505	constrict	1
3506	construct	30
3507	consul	10
3508	consular	3
3509	consult	20
3510	consum	4
3511	consumpt	1
3512	contact	38
3513	contain	46
3514	contamin	1
3515	contempl	4
3516	contemporari	2
3517	contempt	9
3518	contend	25
3519	content	20
3520	contenti	4
3521	contest	44
3522	context	10
3523	contin	6
3524	continent	1
3525	conting	4
3526	continu	230
3527	contort	1
3528	contract	26
3529	contractor	4
3530	contradict	6
3531	contrari	7
3532	contrast	5
3533	contribut	47
3534	contributor	5
3535	contrit	1
3536	contriv	1
3537	control	170
3538	controversi	34
3539	convei	3
3540	conven	8
3541	conveni	16
3542	convent	8
3543	converg	14
3544	convers	18
3545	convert	5
3546	convict	123
3547	convictsgetawai	1
3548	convinc	27
3549	convincingli	1
3550	convoi	14
3551	convok	1
3552	cooei	1
3553	cook	20
3554	cool	5
3555	cooler	2
3556	cooling-off	3
3557	coon	1
3558	cooper	72
3559	coordin	27
3560	cop	1
3561	cope	9
3562	copi	19
3563	copper	2
3564	cops-styl	1
3565	cord	1
3566	cordial	3
3567	cordillera	1
3568	cordon	10
3569	core	9
3570	core:	1
3571	corech	1
3572	corei	2
3573	coretta	1
3574	cori	3
3575	corina	4
3576	corn	2
3577	cornahaim	1
3578	cornaheim	1
3579	cornard	1
3580	corner	34
3581	cornerston	1
3582	cornett	2
3583	corni	1
3584	cornwal	1
3585	corollari	1
3586	coron	2
3587	corp	16
3588	corpor	15
3589	corps	13
3590	corpu	1
3591	corral	1
3592	correct	24
3593	correctli	5
3594	correl	4
3595	correspond	26
3596	corridor	2
3597	corros	3
3598	corrug	1
3599	corrugated-iron	1
3600	corrupt	78
3601	corzin	13
3602	cosbi	1
3603	cosic	1
3604	cosmeniov	1
3605	cosminov	1
3606	cost	41
3607	costa	4
3608	costello	1
3609	costelow	1
3610	costli	5
3611	costliest	3
3612	cot	4
3613	coteri	1
3614	cotibua	1
3615	coton	1
3616	cotton	7
3617	couch	2
3618	coue	1
3619	coulibali	9
3620	council	43
3621	councilman	1
3622	counsel	24
3623	counselor	2
3624	count	79
3625	counter	18
3626	counter-intellig	1
3627	counter-punch	1
3628	counter-terror	1
3629	counterattack	4
3630	countered:	1
3631	counterintellig	3
3632	counternarcot	1
3633	counterpart	5
3634	counterpunch	1
3635	counterrevolutionari	1
3636	counterterror	10
3637	counti	35
3638	countless	1
3639	countri	410
3640	country-span	1
3641	country:	2
3642	countryman	7
3643	countrymen	8
3644	countrysid	15
3645	coup	43
3646	coup-de-tour	1
3647	coupl	40
3648	courag	11
3649	courier	3
3650	cours	62
3651	court	190
3652	court-appoint	2
3653	courtesi	1
3654	courthous	4
3655	courtland	1
3656	courtroom	7
3657	courtsid	2
3658	courtyard	6
3659	cousin	4
3660	coustunitza	1
3661	coven	1
3662	cover	66
3663	cover-up	1
3664	coverag	19
3665	coverdel	3
3666	covic	3
3667	cow	7
3668	coward	2
3669	cowardli	15
3670	cowboi	3
3671	cower	3
3672	cowl	1
3673	cp	1
3674	cpn	2
3675	crabbi	1
3676	crack	32
3677	crackdown	10
3678	crackl	2
3679	cradl	1
3680	craft	19
3681	crafti	2
3682	cragei	3
3683	craggi	1
3684	craig	13
3685	cram	3
3686	cramp	8
3687	crane	18
3688	cranni	1
3689	crap	1
3690	crash	85
3691	crash:	1
3692	crater	6
3693	crave	2
3694	crawl	9
3695	crazi	7
3696	creak	1
3697	creaki	2
3698	cream	3
3699	creasingli	1
3700	creat	49
3701	creation	5
3702	creativ	2
3703	creator	1
3704	credenc	2
3705	credenti	16
3706	credibl	42
3707	credit	20
3708	creditor	4
3709	cree	1
3710	creed	2
3711	creek	1
3712	creep	5
3713	creepi	1
3714	cremat	4
3715	crematoria	1
3716	crematorium	1
3717	crept	6
3718	crescent	1
3719	crest	2
3720	crestfallen	1
3721	crevic	1
3722	crew	133
3723	crewman	4
3724	crewmemb	5
3725	crewmen	10
3726	cri	19
3727	crime	78
3728	crime-fight	1
3729	crimin	105
3730	criminolog	1
3731	crippl	39
3732	crise	14
3733	crisi	54
3734	crisp	3
3735	cristo	1
3736	criteria	2
3737	critic	121
3738	croat	3
3739	croatia	14
3740	croatian	2
3741	croifl	1
3742	croni	18
3743	crook	7
3744	crop	3
3745	crosbi	5
3746	cross	12
3747	cross-court	2
3748	cross-leg	2
3749	cross:	1
3750	crosscourt	5
3751	crossfir	1
3752	crouch	12
3753	crous	1
3754	crow	1
3755	crowbar	6
3756	crowd	103
3757	crowd-pleas	2
3758	crowd:	1
3759	crowlei	10
3760	crown	8
3761	crucial	21
3762	crucifi	1
3763	crude	1
3764	crue	1
3765	cruel	3
3766	cruelti	3
3767	cruis	16
3768	cruiser	3
3769	cruman	1
3770	crumbl	21
3771	crumpl	3
3772	crusad	4
3773	crush	22
3774	crust	1
3775	crutch	6
3776	cruz	1
3777	crwrc	1
3778	cry	15
3779	cryptic	1
3780	crystal	2
3781	cuba	9
3782	cuban	2
3783	cuban-american	2
3784	cue	1
3785	cuellar	6
3786	cul-de-sac	1
3787	culmin	8
3788	culpabl	1
3789	culprit	8
3790	culprits:	1
3791	cultiv	2
3792	cultur	11
3793	cummin	2
3794	cun	5
3795	cuomo	3
3796	cup	9
3797	cupboard	1
3798	curb	4
3799	curdl	1
3800	cure	1
3801	curfew	10
3802	curios	2
3803	curiou	9
3804	currenc	2
3805	current	52
3806	curriculum	4
3807	curs	4
3808	cursori	1
3809	curt	2
3810	curtail	4
3811	curtain	3
3812	curti	3
3813	curv	3
3814	cush	2
3815	cusp	1
3816	cussin	2
3817	custodi	21
3818	custodian	3
3819	custom	9
3820	customari	2
3821	cut	113
3822	cutback	1
3823	cutigua	1
3824	cutter	7
3825	cybercaf	1
3826	cybernet	1
3827	cycl	3
3828	cyclon	1
3829	cylind	1
3830	cylindr	1
3831	cynic	9
3832	cypru	1
3833	cyr	1
3834	czarist	1
3835	czarist-era	1
3836	czech	14
3837	czechoslovakian	1
3838	d-	2
3839	d-ark	1
3840	d-calif	1
3841	d-conn	3
3842	d-dai	1
3843	d-ga	2
3844	d-ind	3
3845	d-mass	3
3846	d-mich	1
3847	d-mo	1
3848	d-n	2
3849	d-sedalia	1
3850	d-w	3
3851	d-wi	1
3852	da	3
3853	dad	11
3854	dada	1
3855	dadiv	1
3856	dae-jung	5
3857	daewoo	5
3858	dagestan	3
3859	dagger	3
3860	dai	455
3861	daili	29
3862	daja	2
3863	dakota	19
3864	dakotan	1
3865	dakouri	1
3866	dalal	1
3867	dale	2
3868	dalei	7
3869	dalla	30
3870	dallas-area	5
3871	dallas-bas	2
3872	dallas-fort	2
3873	dalworthington	1
3874	dam	1
3875	damag	154
3876	damascu	2
3877	dame	1
3878	damir	3
3879	dammaj	1
3880	damor	1
3881	damp	1
3882	dampen	2
3883	dan	18
3884	dana	2
3885	danah	4
3886	danburi	1
3887	danc	11
3888	dancer	3
3889	dandelion	1
3890	dane	1
3891	danewich	1
3892	danforth	3
3893	danger	103
3894	dangl	2
3895	daniel	19
3896	daniela	6
3897	daniil	2
3898	danni	1
3899	danzig	4
3900	daoud	1
3901	dapist	1
3902	dar	5
3903	darden	1
3904	dare	15
3905	daren	7
3906	dark	27
3907	dark-hair	2
3908	darken	3
3909	darl	1
3910	darn	1
3911	darrel	2
3912	dart	1
3913	darwinian	1
3914	daschl	11
3915	dash	4
3916	dashboard	1
3917	data	4
3918	date	26
3919	date:	1
3920	datelin	7
3921	daughter	54
3922	daughter-in-law	2
3923	daunt	6
3924	dave	18
3925	davenport	44
3926	davi	4
3927	david	58
3928	david-styl	1
3929	davidian	2
3930	dawn	21
3931	day-by-dai	1
3932	day-to-dai	2
3933	day:	3
3934	daybreak	3
3935	dayeb	1
3936	daylight	4
3937	dayton	9
3938	dayton-hudson	3
3939	daytona	1
3940	daze	4
3941	dazesurvivor	1
3942	dc	6
3943	dc-10	1
3944	dd-21	1
3945	ddg67	7
3946	de-classifi	1
3947	dea	1
3948	deactiv	2
3949	dead	164
3950	dead-on	1
3951	deadli	53
3952	deadliest	16
3953	deadlin	12
3954	deadline:	1
3955	deadlock	3
3956	deaf	1
3957	deal	98
3958	dealt	6
3959	dean	5
3960	dear	5
3961	dearborn	1
3962	dearli	3
3963	death	209
3964	death-defi	1
3965	death-row	1
3966	death:	1
3967	debar	1
3968	debat	65
3969	debbi	5
3970	deborah	3
3971	debra	2
3972	debri	47
3973	debt	14
3974	debut	1
3975	dec	48
3976	decad	81
3977	decades-old	2
3978	decai	2
3979	deceas	8
3980	deceit	1
3981	decemb	79
3982	decent	2
3983	decentr	3
3984	decept	1
3985	decibel	1
3986	decid	103
3987	decidedli	1
3988	decis	173
3989	decision-mak	2
3990	deck	44
3991	declar	97
3992	declared:	1
3993	declaring:	1
3994	declassifi	1
3995	declin	48
3996	decod	2
3997	decompos	1
3998	decor	2
3999	decrat	2
4000	decre	2
4001	decri	3
4002	ded	1
4003	dedic	9
4004	dedinj	5
4005	deed	3
4006	deem	8
4007	deep	42
4008	deep-sea	4
4009	deep-seat	2
4010	deep-wat	6
4011	deepen	5
4012	deeper	3
4013	deepest	1
4014	deepli	23
4015	defac	1
4016	default	3
4017	defeat	143
4018	defect	2
4019	defenc	3
4020	defend	121
4021	defens	153
4022	defenselink	3
4023	defer	2
4024	defi	5
4025	defianc	7
4026	defiant	6
4027	defiantli	2
4028	defici	1
4029	deficit	11
4030	defin	7
4031	definit	37
4032	deflat	1
4033	deflect	5
4034	defoli	1
4035	defolt	1
4036	deforest	10
4037	defraud	3
4038	defunct	1
4039	defus	3
4040	degr	1
4041	degrad	4
4042	degre	23
4043	dehuman	1
4044	dehydr	3
4045	del	11
4046	delai	34
4047	delawar	25
4048	deleg	10
4049	delhi	17
4050	deli	1
4051	deliber	15
4052	delic	7
4053	delici	1
4054	delight	5
4055	deliv	36
4056	deliveri	2
4057	dell	1
4058	delsaut	2
4059	delta	9
4060	delus	2
4061	delv	1
4062	demaci	1
4063	demagogu	2
4064	demand	75
4065	demarc	1
4066	demean	1
4067	demeanor	2
4068	dementieva	5
4069	demick	1
4070	demilitar	1
4071	demis	6
4072	democraci	72
4073	democrat	188
4074	democratich	1
4075	demograph	1
4076	demolish	4
4077	demolit	5
4078	demon	4
4079	demonstr	88
4080	demot	2
4081	demur	1
4082	demystifi	1
4083	dengu	1
4084	deni	95
4085	denial	5
4086	denigr	1
4087	denis	14
4088	denisa	3
4089	denn	1
4090	denni	8
4091	denomin	1
4092	denounc	13
4093	dens	4
4094	dent	2
4095	dental	1
4096	denver	21
4097	depart	180
4098	department:	12
4099	departur	20
4100	depend	34
4101	depict	1
4102	deplan	1
4103	deplet	2
4104	deploi	15
4105	deplor	2
4106	deploy	7
4107	deport	3
4108	deportieren	1
4109	depos	7
4110	deposit	4
4111	depot	4
4112	depress	3
4113	depriv	1
4114	dept	1
4115	depth	12
4116	deputi	46
4117	dequia	2
4118	derail	1
4119	derelict	1
4120	deriv	3
4121	desai	1
4122	descend	18
4123	descent	9
4124	describ	60
4125	descript	8
4126	desegreg	1
4127	desert	31
4128	desert-styl	3
4129	deserv	15
4130	deservedli	2
4131	design	34
4132	designe	1
4133	desir	15
4134	desire-paulin	1
4135	desist	3
4136	desk	6
4137	desk:	1
4138	desol	1
4139	despair	6
4140	desper	39
4141	despic	12
4142	despis	3
4143	despit	116
4144	despot	1
4145	destabil	3
4146	destin	10
4147	destini	1
4148	destitut	1
4149	destroi	63
4150	destroy	168
4151	destroyed:	1
4152	destroyer:	1
4153	destruct	27
4154	desvid	1
4155	detach	3
4156	detail	84
4157	detain	31
4158	detaine	2
4159	detect	14
4160	detector	1
4161	detent	10
4162	deter	15
4163	deterg	1
4164	deterior	11
4165	determin	101
4166	deterr	2
4167	detest	1
4168	deton	30
4169	detour	4
4170	detritu	1
4171	detroit	3
4172	deuc	12
4173	deutch	8
4174	deutsch	1
4175	devast	58
4176	devastatingli	1
4177	develop	96
4178	developments:	1
4179	deviat	1
4180	devic	15
4181	devilish	1
4182	devis	1
4183	devot	15
4184	devour	2
4185	devoutli	1
4186	dewat	2
4187	dewin	2
4188	dhabi	4
4189	dhahran	12
4190	dharan	1
4191	dhingra	1
4192	dhrumal	1
4193	di	165
4194	diabak	1
4195	diagnos	5
4196	diagnosi	1
4197	diagnost	1
4198	diagnostico	1
4199	diagram	1
4200	dialect	1
4201	diallo	2
4202	dialo	3
4203	dialogu	8
4204	diamet	3
4205	diamond	3
4206	dian	2
4207	diann	3
4208	diari	1
4209	diarrhea	2
4210	diaz	2
4211	dick	36
4212	dickinson	1
4213	dictablanda	1
4214	dictadura	1
4215	dictat	29
4216	dictatori	3
4217	dictatorship	10
4218	diction	4
4219	dictionari	1
4220	dictment	1
4221	did	309
4222	didn	128
4223	die	35
4224	diego	5
4225	dienstbier	2
4226	diesel	2
4227	diet	3
4228	differ	107
4229	difficult	84
4230	difficulti	21
4231	diffus	1
4232	dig	49
4233	digest	1
4234	digger	3
4235	digit	2
4236	dignitari	5
4237	digniti	8
4238	dilapid	1
4239	dilemma	4
4240	dilfer	1
4241	dilig	1
4242	dilut	1
4243	dime	1
4244	dimens	2
4245	diminish	5
4246	diminut	1
4247	dimitr	1
4248	dimitri	2
4249	dimmer	1
4250	dina	1
4251	dinar	2
4252	dine	8
4253	dinghi	4
4254	dingi	1
4255	dinh	2
4256	dinkic	3
4257	dinner	10
4258	dioulo	1
4259	dip	2
4260	diplomaci	8
4261	diplomat	69
4262	diplospeak	4
4263	dire	1
4264	direct	75
4265	directli	40
4266	director	101
4267	director-gener	2
4268	directrelief	1
4269	diring	1
4270	dirksen	1
4271	dirt	33
4272	dirt-entrust	1
4273	dirt-pack	1
4274	dirt-poor	3
4275	dirt:	2
4276	dirti	11
4277	dirtiest	1
4278	disabl	4
4279	disadvantag	1
4280	disaffect	1
4281	disagr	3
4282	disagre	8
4283	disappear	24
4284	disappoint	23
4285	disappointed:	2
4286	disapprov	1
4287	disarm	1
4288	disarma	1
4289	disarrai	2
4290	disassembl	1
4291	disast	76
4292	disastr	8
4293	disband	6
4294	disbar	4
4295	disbelief	5
4296	disc	1
4297	discard	2
4298	discharg	3
4299	disciplin	13
4300	disciplinari	6
4301	disclos	12
4302	disclosur	7
4303	discomfort	4
4304	discont	2
4305	discontinu	1
4306	discord	2
4307	discothequ	1
4308	discount	1
4309	discourag	7
4310	discov	37
4311	discoveri	12
4312	discovi	1
4313	discredit	10
4314	discreet	1
4315	discrep	4
4316	discret	4
4317	discrimin	2
4318	discuss	75
4319	disdain	4
4320	diseas	9
4321	disenfranchis	3
4322	disgaz	1
4323	disgrac	12
4324	disgruntl	5
4325	disguis	9
4326	disgust	1
4327	dish	1
4328	dishdasha	1
4329	dishearten	2
4330	dishonor	2
4331	disillus	2
4332	disinfect	5
4333	disinform	1
4334	disintegr	10
4335	dislik	1
4336	disloc	2
4337	dislodg	2
4338	dismai	3
4339	dismal	1
4340	dismantl	8
4341	dismemb	1
4342	dismiss	32
4343	disobedi	14
4344	disord	3
4345	disori	2
4346	dispar	4
4347	disparag	2
4348	dispatch	26
4349	dispel	2
4350	dispens	1
4351	dispers	13
4352	displac	2
4353	displai	29
4354	displeas	1
4355	displeasur	1
4356	dispos	12
4357	disposit	1
4358	disprov	2
4359	disput	33
4360	disqualifi	6
4361	disquiet	1
4362	disregard	5
4363	disreput	1
4364	disrespect	2
4365	disrupt	9
4366	dissect	1
4367	dissemin	4
4368	dissent	5
4369	dissid	6
4370	dissip	1
4371	dissolv	12
4372	dissuas	1
4373	distanc	16
4374	distant	7
4375	distinct	7
4376	distinctli	1
4377	distinguish	7
4378	distort	6
4379	distract	8
4380	distraught	13
4381	distress	4
4382	distribut	26
4383	district	38
4384	distrust	1
4385	disturb	9
4386	disun	2
4387	ditch	2
4388	dive	21
4389	diver	67
4390	divers	8
4391	diversifi	1
4392	divert	8
4393	divid	33
4394	divis	26
4395	divorc	3
4396	divulg	4
4397	dixvil	1
4398	dizzi	2
4399	djahouri	1
4400	djibouti	20
4401	djikal	1
4402	djila	1
4403	djindjic	17
4404	djindjic-kostunica	1
4405	djukanov	3
4406	djuro	1
4407	dmitri	12
4408	dmon	1
4409	dna	5
4410	dnevnik	1
4411	do	93
4412	do-noth	1
4413	do:	1
4414	doan	1
4415	dobrica	1
4416	dochterman	1
4417	dock	42
4418	docksid	2
4419	doctor	51
4420	doctorswithoutbord	1
4421	doctrin	1
4422	document	44
4423	documentari	1
4424	dodg	1
4425	dodgi	3
4426	doe	93
4427	doer	1
4428	doesn	43
4429	dog	32
4430	dogged	1
4431	doggedli	1
4432	doha	1
4433	dokic	9
4434	doll	1
4435	dollar	37
4436	dolphin	1
4437	domain	1
4438	dome	2
4439	domest	16
4440	domin	38
4441	dominican	1
4442	dominik	16
4443	dominikov	4
4444	dominion	2
4445	dominiqu	1
4446	domino	2
4447	domino-lik	1
4448	don	2
4449	donald	35
4450	donaldson	2
4451	donat	19
4452	dong	1
4453	donkei	1
4454	donna	2
4455	donnel	3
4456	donor	11
4457	dooda	1
4458	doom	9
4459	door	47
4460	door-to-door	1
4461	doorwai	2
4462	dopher	1
4463	dora	1
4464	dorcol	1
4465	doreen	1
4466	dori	1
4467	dormitori	1
4468	dorothi	3
4469	dose	1
4470	dostoyevski	1
4471	dot	3
4472	doubl	35
4473	double-check	1
4474	double-d	1
4475	double-digit	1
4476	double-fault	11
4477	doubt	50
4478	doudou	1
4479	doug	1
4480	dougal	9
4481	dougherti	2
4482	dougla	1
4483	dour	2
4484	dove	1
4485	dover	24
4486	down	4
4487	down-correct	1
4488	down-the-middl	1
4489	downbeat	1
4490	downfal	19
4491	downplai	3
4492	downpour	1
4493	downstair	2
4494	downtown	29
4495	dows	1
4496	doyal	1
4497	doze	1
4498	dozen	112
4499	dozo	1
4500	dpko	1
4501	dpmo	2
4502	draconian	2
4503	draft	16
4504	drag	15
4505	dragan	6
4506	dragana	1
4507	dragesa	1
4508	dragisha	1
4509	dragoljub	8
4510	dragomir	2
4511	dragon	2
4512	drain	8
4513	drama	11
4514	drama:	2
4515	draman	15
4516	dramat	33
4517	drape	12
4518	draper	2
4519	draskov	4
4520	drastic	1
4521	draw	48
4522	draw:	1
4523	drawn	17
4524	dread	1
4525	dream	20
4526	dress	24
4527	dresser	1
4528	drew	23
4529	drexel	1
4530	dri	6
4531	dried-up	1
4532	drift	3
4533	drill	8
4534	drink	13
4535	drip	1
4536	drissa	3
4537	drive	61
4538	driven	16
4539	driver	24
4540	drivewai	1
4541	drizzl	1
4542	drizzli	1
4543	drop	51
4544	drop-in	1
4545	drought	2
4546	drove	22
4547	drown	6
4548	drub	1
4549	drudg	1
4550	drug	41
4551	drug-mak	1
4552	drugli	1
4553	drum	1
4554	drumbeat	2
4555	drummer	2
4556	drunk	3
4557	drunken	1
4558	dry	10
4559	drydock	1
4560	dtic	2
4561	dual	1
4562	duan	1
4563	dub	3
4564	dubai	5
4565	dubiou	1
4566	duboc	1
4567	duc	7
4568	duck	2
4569	duct	6
4570	dudlei	12
4571	duel	3
4572	duffel	2
4573	duffi	4
4574	duffl	1
4575	dug	21
4576	dug-up	1
4577	duglon	1
4578	duguid	2
4579	duke	1
4580	dull	1
4581	duluth	1
4582	duma	1
4583	dump	12
4584	duo	1
4585	duopoli	1
4586	dupe	1
4587	duplic	1
4588	durango	2
4589	duress	1
4590	dusan	1
4591	dusk	2
4592	dust	13
4593	dusti	11
4594	dutch	3
4595	duti	27
4596	duval	1
4597	dwarf	1
4598	dwell	2
4599	dwight	2
4600	dwindl	11
4601	dwyer	1
4602	dy	14
4603	dye	2
4604	dygalo	2
4605	dynam	4
4606	dynamit	4
4607	dynamite-tip	4
4608	dynasti	1
4609	dysfunct	1
4610	e-commerc	1
4611	e-mail	6
4612	e-mail:	1
4613	eager	18
4614	eagl	1
4615	eagleton	1
4616	eaker	1
4617	eant-war	1
4618	ear	7
4619	eardrum	2
4620	earli	180
4621	earlier	188
4622	earliest	7
4623	early-season	1
4624	earmark	8
4625	earn	22
4626	earnest	5
4627	earshot	1
4628	earth	29
4629	earth-mov	2
4630	earthmov	3
4631	earthquak	110
4632	earthquake-driven	1
4633	earthquake-ravag	1
4634	earthquake-stricken	1
4635	earthquake-trigg	2
4636	eas	11
4637	easi	34
4638	easier	12
4639	easiest	2
4640	easili	25
4641	easlei	1
4642	east	1
4643	eastern	40
4644	eat	15
4645	eaten	2
4646	eavesdrop	1
4647	eb	3
4648	ebb	5
4649	ebri	1
4650	eccel	1
4651	echeverria	1
4652	echo	28
4653	eclips	2
4654	ecolog	1
4655	ecologist	1
4656	econolin	1
4657	econom	83
4658	economi	73
4659	economist	12
4660	ecstat	1
4661	ecuador	10
4662	ecuadorian	1
4663	edberg	1
4664	edg	46
4665	edgar	1
4666	edict	1
4667	edific	1
4668	edikipa	1
4669	edinburgh	1
4670	edit	16
4671	editor	16
4672	editor-in-chief	1
4673	editori	16
4674	edmond	32
4675	edmund	25
4676	edmundo	1
4677	eds:	1
4678	edt	13
4679	eduard	1
4680	eduardo	1
4681	educ	37
4682	edward	6
4683	edwardo	1
4684	edwin	2
4685	eeri	2
4686	eerili	1
4687	effect	75
4688	effect:	1
4689	effici	4
4690	effort	185
4691	effortlessli	1
4692	egg	5
4693	egoavil	3
4694	egotist	2
4695	egregi	1
4696	egypt	26
4697	egyptian	31
4698	ehud	8
4699	eight-dai	2
4700	eight-man	1
4701	eight-memb	1
4702	eight-month	1
4703	eight-volum	1
4704	eight-year	3
4705	eighteen-month-old	1
4706	eighth	15
4707	eighth-centuri	1
4708	eighth-seed	6
4709	eighti	2
4710	eighty-seven	2
4711	eighty-year-old	1
4712	eisenhow	3
4713	eject	2
4714	ekra	1
4715	el-attar	1
4716	el-misri	1
4717	el-sheikh	3
4718	el-sirri	1
4719	elabor	24
4720	elana	1
4721	elast	1
4722	elat	1
4723	elayn	1
4724	elbaum	1
4725	elbow	7
4726	elder	6
4727	elderli	5
4728	eldest	3
4729	elect	298
4730	election-dai	1
4731	election-night	1
4732	elector	80
4733	electr	42
4734	electric-pow	1
4735	electrician	3
4736	electrifi	1
4737	electrocut	1
4738	electron	11
4739	eleg	5
4740	element	21
4741	elementari	2
4742	elena	6
4743	elev	4
4744	elia	4
4745	eliac	1
4746	elier	1
4747	elig	10
4748	elimin	32
4749	elit	7
4750	elizabeth	7
4751	ellen	5
4752	elli	2
4753	elliot	2
4754	ellips	2
4755	ellipt	1
4756	ellwood	1
4757	eln-handcount	1
4758	eln-leg	1
4759	eln-militari	1
4760	eln-rdp	1
4761	elong	1
4762	elton	1
4763	elud	12
4764	elus	4
4765	em:	1
4766	eman	1
4767	emanuel	1
4768	embargo	31
4769	embark	4
4770	embarrass	10
4771	embassi	118
4772	embattl	9
4773	embed	1
4774	embellish	1
4775	emblemat	1
4776	embrac	20
4777	embroil	1
4778	emerg	109
4779	emerson	2
4780	emigr	7
4781	emil	5
4782	emili	2
4783	emilio	2
4784	emin	2
4785	emir	7
4786	emiss	1
4787	emissari	1
4788	emit	1
4789	emkne	1
4790	emmanuel	3
4791	emot	42
4792	emotion	6
4793	empathet	1
4794	empathi	1
4795	emperor	4
4796	emphas	9
4797	emphasi	7
4798	emphat	5
4799	empir	6
4800	emploi	15
4801	employ	4
4802	employe	50
4803	empow	2
4804	emul	3
4805	enabl	10
4806	enact	4
4807	encircl	1
4808	enclos	1
4809	encor	1
4810	encount	15
4811	encourag	33
4812	end	268
4813	end-dat	2
4814	end-of-the-year	2
4815	endang	5
4816	endear	1
4817	endeavor	3
4818	endem	1
4819	endors	12
4820	endur	18
4821	enemi	46
4822	energ	3
4823	energet	1
4824	energi	29
4825	enforc	44
4826	engag	25
4827	engend	2
4828	engin	50
4829	engine-room	2
4830	engineerman	1
4831	engineman	1
4832	england	2
4833	english	13
4834	english-deriv	1
4835	english-languag	3
4836	english-speak	4
4837	engrav	1
4838	engulf	7
4839	enhanc	5
4840	enigmat	1
4841	enjoi	19
4842	enjoin	1
4843	enlarg	4
4844	enlist	12
4845	enmesh	1
4846	enmiti	2
4847	enorm	27
4848	enqvist	1
4849	enrag	2
4850	enrich	1
4851	ensembl	2
4852	ensign	4
4853	ensnar	2
4854	ensu	8
4855	ensued:	1
4856	ensul	1
4857	ensur	34
4858	entail	1
4859	entangl	1
4860	enter	64
4861	enterpris	4
4862	entertain	5
4863	enthusiasm	8
4864	enthusiast	7
4865	entic	4
4866	entir	44
4867	entireti	1
4868	entiti	2
4869	entitl	6
4870	entomb	4
